ID	Sentence	AMR	Comment
61	There is a pillar between me and the stage, and I can't see around it.	(a / and       :op1 (b / be-located-at-91             :ARG1 (p / pillar)             :ARG2 (b2 / between                   :op1 (i / i)                   :op2 (s / stage)))       :op2 (s2 / see-01 :polarity -             :ARG0 i             :ARG1 (a2 / around                   :op1 p)))
62	There is a pillar between me and the stage, and I can't see it.	(a / and       :op1 (b / be-located-at-91             :ARG1 (p / pillar)             :ARG2 (b2 / between                   :op1 (i / i)                   :op2 (s / stage)))       :op2 (s2 / see-01 :polarity -             :ARG0 i             :ARG1 s))
63	They broadcast an announcement, but a subway came into the station and I couldn't hear it.	(c / contrast-01       :ARG1 (b / broadcast-01             :ARG0 (t / they)             :ARG1 (a / announce-01))       :ARG2 (c2 / come-01             :ARG1 (s / subway)             :location (s2 / station)             :ARG0-of (c3 / cause-01                   :ARG1 (h / hear-01 :polarity -                         :ARG0 (i / i)                         :ARG1 a))))
64	They broadcast an announcement, but a subway came into the station and I couldn't hear over it.	(c / contrast-01       :ARG1 (b / broadcast-01             :ARG0 (t / they)             :ARG1 (a / announce-01))       :ARG2 (c2 / come-01             :ARG1 (s / subway)             :location (s2 / station)             :ARG0-of (c3 / cause-01                   :ARG1 (h / hear-01 :polarity -                         :ARG0 (i / i)                         :ARG1 (o / over                               :op1 s)))))
65	In the middle of the outdoor concert, the rain started falling, but it continued until 10.	(c / contrast-01       :ARG1 (b / be-temporally-at-91             :ARG1 (r / rain-01                   :ARG1-of (f / fall-01))             :ARG2 (m / middle                   :op1 (c3 / concert                         :location (o2 / outdoor))))       :ARG2 (c2 / continue-01             :ARG1 r             :time (u / until                   :op1 (o / temporal-quantity :quant 10))))
66	In the middle of the outdoor concert, the rain started falling, and it continued until 10.	(a / and       :op1 (b / be-temporally-at-91             :ARG1 (r / rain-01                   :ARG1-of (f / fall-01))             :ARG2 (m / middle                   :op1 (c3 / concert                         :location (o2 / outdoor))))       :op2 (c2 / continue-01             :ARG1 r             :time (u / until                   :op1 (o / temporal-quantity :quant 10))))
67	I used an old rag to clean the knife, and then I put it in the trash.	(a / and       :op1 (c / clean-01             :ARG1 (i / i)             :ARG2 (k / knife)             :instrument (r / rag                   :mod (o / old)))       :op2 (p / put-01             :time (t / then)             :ARG1 k             :ARG2 (t / trash)))	Does noun trash invoke roleset trash-01?
68	I used an old rag to clean the knife, and then I put it in the drawer.	(a / and       :op1 (c / clean-01             :ARG1 (i / i)             :ARG2 (k / knife)             :instrument (r / rag                   :mod (o / old)))       :op2 (p / put-01             :time (t / then)             :ARG1 k             :ARG2 (d / drawer)))
69	Ann asked Mary what time the library closes, because she had forgotten.	(a / ask-01       :ARG0 (p / person :name "Ann")       :ARG1 (a2 / amr-unkown             :time-of (c / close-01                   :ARG1 (l / library)))       :ARG2 (p2 / person :name "Mary")       :ARG1-of (c2 / cause-01             :ARG1 (f / forget-01                   :ARG0 p)))
70	Ann asked Mary what time the library closes, but she had forgotten.	(c / contrast-01       :ARG1 (a / ask-01             :ARG0 (p / person :name "Ann")             :ARG1 (a2 / amr-unkown                   :time-of (c2 / close-01                         :ARG1 (l / library)))             :ARG2 (p2 / person :name "Mary"))       :ARG2 (f / forget-01             :ARG0 p))
71	I took the water bottle out of the backpack so that it would be handy.	(t / take-01       :ARG0 (i / i)       :ARG1 (b / bottle-01             :mod (w / water))       :ARG2 (b2 / backpack)       :purpose (l / handy-02             :ARG1 b))
72	I took the water bottle out of the backpack so that it would be lighter.	(t / take-01       :ARG0 (i / i)       :ARG1 (b / bottle-01             :mod (w / water))       :ARG2 (b2 / backpack)       :purpose (l / lighten-01             :ARG1 b2))
73	I couldn't put the pot on the shelf because it was too tall.	(p / possible-01 :polarity -       :ARG1 (p2 / put-01             :ARG0 (i / i)             :ARG1 (p3 / pot)             :ARG2 (o / on                   :op1 (s / shelf))             :ARG1-of (c / cause-01                   :ARG0 (h / have-degree-91                         :ARG1 p3                         :ARG2 (t2 / tall)                         :ARG3 (t / too)))))
74	I couldn't put the pot on the shelf because it was too high.	(p / possible-01 :polarity -       :ARG1 (p2 / put-01             :ARG0 (i / i)             :ARG1 (p3 / pot)             :ARG2 (o / on                   :op1 (s / shelf))             :ARG1-of (c / cause-01                   :ARG0 (h / have-degree-91                         :ARG1 s                         :ARG2 (h2 / high)                         :ARG3 (t / too)))))
75	I'm sure that my map will show this building; it is very good.	(m2 / multi-sentence       :snt1 (s / sure-02             :ARG0 (i / i)             :ARG1 (s2 / show-01                   :ARG0 (m / map                         :poss i)                   :ARG1 (b2 / building                         :mod (t / this))))       :snt2 (g / good-02             :ARG1 (i2 / it)             :degree (v / very)))
76	I'm sure that my map will show this building; it is very famous.	(m2 / multi-sentence       :snt1 (s / sure-02             :ARG0 (i / i)             :ARG1 (s2 / show-01                   :ARG0 (m / map                         :poss i)                   :ARG1 (b2 / building                         :mod (t / this))))       :snt2 (f / fame-01             :ARG1 (i2 / it)             :degree (v / very)))
77	Bob paid for Charlie's college education. He is very generous.	(m / multi-sentence       :snt1 (p / pay-01             :ARG0 (p3 / person)             :ARG3 (e / education                   :poss (p4 / person :name "Charlie")                   :mod (c / college)))       :snt2 (g / generous-01             :ARG0 (h / he)             :degree (v / very)))
78	Bob paid for Charlie's college education. He is very grateful.	(m / multi-sentence       :snt1 (p / pay-01             :ARG0 (p3 / person)             :ARG3 (e / education                   :poss (p4 / person :name "Charlie")                   :mod (c / college)))       :snt2 (t / thankful-02             :ARG0 (h / he)             :degree (v / very)))
79	Bob paid for Charlie's college education, but now acts as though it never happened. He is very hurt.	(m / multi-sentence       :snt1 (c / contrast-01             :ARG1 (p / pay-01                   :ARG0 (p3 / person :name "Bob")                   :ARG3 (e / education                         :mod (c2 / college)                         :poss (p4 / person :name "Charlie")))             :ARG2 (a / act-01                   :ARG0 (p5 / person :name "Charlie")                   :ARG1 (h / happen-01 :polarity -)))       :snt2 (t / hurt-02             :ARG1 (h3 / he)             :degree (v / very)))
80	Bob paid for Charlie's college education, but now acts as though it never happened. He is very ungrateful.	(m / multi-sentence       :snt1 (c / contrast-01             :ARG1 (p / pay-01                   :ARG0 (p3 / person :name "Bob")                   :ARG3 (e / education                         :mod (c2 / college)                         :poss (p4 / person :name "Charlie")))             :ARG2 (a / act-01                   :ARG0 (p5 / person :name "Charlie")                   :ARG1 (h / happen-01 :polarity -)))       :snt2 (t / thankful-02 :polarity -             :ARG1 (h3 / he)             :degree (v / very)))
81	Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.	(m / multi-sentence       :snt1 (p / play-01             :ARG0 (p3 / person :name "Bob")             :ARG1 (c / cards)             :ARG3 (p4 / person :name "Adam")             :mod (a / ahead                   :degree (w / way)))       :snt2 (h / have-condition-91             :ARG1 (h2 / have-03 :polarity -                   :ARG0 (p5 / person :name "Adam")                   :ARG1 (r / run-07                         :ARG1 (l / luck                               :mod (g / good-02))                         :mod (s / sudden)))             :ARG2 (w2 / win-01                   :ARG0 p5)))
82	Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.	(m / multi-sentence       :snt1 (p / play-01             :ARG0 (p3 / person :name "Bob")             :ARG1 (c / cards)             :ARG3 (p4 / person :name "Adam")             :mod (a / ahead                   :degree (w / way)))       :snt2 (h / have-condition-91             :ARG1 (h2 / have-03 :polarity -                   :ARG0 (p5 / person :name "Adam")                   :ARG1 (r / run-07                         :ARG1 (l / luck                               :mod (g / good-02))                         :mod (s / sudden)))             :ARG2 (l2 / lose-02                   :ARG0 p3)))
83	Adam can't leave work here until bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.	(m / multi-sentence       :snt1 (l / leave-11 :polarity -             :ARG0 (p / person :name "Adam")             :ARG1 (w / work                   :location (h / here))             :time (u / until                   :op1 (a / arrive-01                         :ARG1 (p4 / person :name "Bob"                               :ARG0-of (r / replace-01                                     :ARG1 p)))))       :snt2 (h2 / have-condition-91             :ARG1 (l2 / leave-11                   :ARG0 (p5 / person :name "Bob")                   :ARG1 (h3 / home)                   :ARG2 (w2 / work))             :ARG2 (g / go-02                   :ARG0 (p6 / person :name "Adam"                   :time (t / time                         :mod (t2 / this))))))
84	Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.	(m / multi-sentence       :snt1 (l / leave-11 :polarity -             :ARG0 (p / person :name "Adam")             :ARG1 (w / work                   :location (h / here))             :time (u / until                   :op1 (a / arrive-01                         :ARG1 (p4 / person :name "Bob"                               :ARG0-of (r / replace-01                                     :ARG1 p)))))       :snt2 (h2 / have-condition-91             :ARG1 (l2 / leave-11                   :ARG0 (p5 / person :name "Bob")                   :ARG1 (h3 / home)                   :ARG2 (w2 / work))             :ARG2 (a2 / arrive-01                   :ARG1 p5                   :time (t / time                         :mod (t2 / this)))))
85	If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.	(h / have-condition-91       :ARG1 (s / succeed-01             :ARG0 (a / artist                   :mod (c / con))             :ARG0 (f / fool-01                   :ARG1 (p / person :name "Sam")))       :ARG2 (g / get-01             :ARG0 a             :ARG1 (m / money                   :quant (l / lot))))
86	If the con artist has succeeded in fooling Sam, he would have lost a lot of money.	(h / have-condition-91       :ARG1 (s / succeed-01             :ARG0 (a / artist                   :mod (c / con))             :ARG0 (f / fool-01                   :ARG1 (p / person :name "Sam")))       :ARG2 (l2 / lose-02             :ARG0 p             :ARG1 (m / money                   :quant (l / lot))))
87	It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.	(m / multi-sentence       :snt1 (a2 / and             :op1 (d / date-entity                   :season (s / summer))             :op2 (s2 / sit-01                   :ARG1 (d2 / dog)                   :ARG2 (l / lawn                         :location (m2 / middle))))       :snt2 (c / cause-01             :ARG0 (h / hot-05                   :ARG0 (i2 / it))             :ARG1 (a3 / and                   :op1 (g / get-up-26                         :ARG1 (i3 / it))                   :op2 (m3 / move-01                         :ARG0 i3                         :ARG1 (s3 / spot                               :location (u / under                                     :op1 (t / tree)))))             :time (a4 / after                   :op1 (w / while :quant 1))))
88	It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.	(m / multi-sentence       :snt1 (a2 / and             :op1 (d / date-entity                   :season (s / summer))             :op2 (s2 / sit-01                   :ARG1 (d2 / dog)                   :ARG2 (l / lawn                         :location (m2 / middle))))       :snt2 (c / cause-01             :ARG0 (c2 / cool-06                   :ARG0 (i2 / it))             :ARG1 (a3 / and                   :op1 (g / get-up-26                         :ARG1 (i3 / it))                   :op2 (m3 / move-01                         :ARG0 i3                         :ARG1 (s3 / spot                               :location (u / under                                     :op1 (t / tree)))))             :time (a4 / after                   :op1 (w / while :quant 1))))
89	The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.	(c / contrast-01       :ARG1 (l / lay-01             :ARG0 (c2 / cat)             :ARG2 (h / hole                   :mod (m / mouse))             :purpose (w / wait-01                   :ARG2 (m2 / mouse)))       :ARG2 (i2 / impatient-01             :ARG0 c2             :degree (t / too)))	"impatient-01" is a roleset in PropBank, but wasn't suggested in AMR Editor. I decided to use it. Ref: https://propbank.github.io/v3.4.0/frames/impatient.html#impatient.01
90	The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.	(c / contrast-01       :ARG1 (l / lay-01             :ARG0 (c2 / cat)             :ARG2 (h / hole                   :mod (m / mouse))             :purpose (w / wait-01                   :ARG2 (m2 / mouse)))       :ARG2 (c4 / cautious-02             :ARG0 m2             :degree (t / too)))