PROXY_NYT_ENG_20020406_0118.37	:month 2 :year 2001
ENG_NA_020001_20161020_G0023FSWC_0001.6	:day 16 :month 2 :time "7:53" :year 2010
ENG_NA_020001_20161020_G0023FSUQ_0001.5	:day 24 :month 1 :time "11:09" :year 2010
PROXY_LTW_ENG_20080727_0030.1	:day 26 :month 7 :year 2008
PROXY_XIN_ENG_20021123_0156.1	:day 23 :month 11 :year 2002
PROXY_XIN_ENG_20040922_0123.6	:day 22 :month 9 :year 2004
PROXY_NYT_ENG_20070618_0031.14	:day 14 :month 6 :year 2007
ENG_NA_020001_20161020_G0023FSV3_0001.8	:day 18 :month 1 :time "8:36" :year 2010
ENG_NA_020001_20161020_G0023FSUO_0001.9	:day 22 :month 1 :time "13:19" :year 2010
PROXY_XIN_ENG_20020829_0017.12	:day 28 :month 8 :year 2002
PROXY_XIN_ENG_20031107_0242.4	:day 7 :month 11 :year 2003
PROXY_XIN_ENG_20031107_0242.4	:day 8 :month 11 :year 2003
PROXY_XIN_ENG_20020725_0113.8	:day 24 :month 7 :year 2002
PROXY_XIN_ENG_20020905_0122.11	:day 29 :month 8 :year 2002
ENG_NA_020001_20161020_G0023FSWB_0001.6	:day 4 :month 2 :time "0:13" :year 2010
PROXY_NYT_ENG_20040724_0084.11	:month 4 :year 2001
ENG_NA_020001_20161020_G0023FSUZ_0001.8	:day 5 :month 2 :time "13:11" :year 2010
PROXY_LTW_ENG_20070831_0072.14	:day 30 :month 8 :year 2007
PROXY_XIN_ENG_20040429_0189.6	:day 29 :month 4 :year 2004
NW_XIN_ENG_0196_2008_1027.2	:day 27 :month 10
NW_XIN_ENG_0198_2008_1218.6	:time "16:20"
NW_XIN_ENG_0198_2008_1218.6	:time "3:20" :timezone "GMT"
ENG_NA_020001_20161020_G0023FSW0_0001.5	:day 20 :month 1 :time "13:29" :year 2010
ENG_NA_020001_20161020_G0023FSVS_0001.6	:day 22 :month 1 :time "12:36" :year 2010
PROXY_XIN_ENG_20040403_0262.1	:day 3 :month 4 :year 2004
PROXY_XIN_ENG_20021020_0012.5	:day 19 :month 10 :year 2002
PROXY_XIN_ENG_20021020_0012.5	:day 20 :month 10 :year 2002
PROXY_LTW_ENG_20081115_0076.17	:month 2 :year 2008
PROXY_NYT_ENG_20080919_0209.8	:day 18 :month 9 :year 2008
PROXY_NYT_ENG_20080919_0209.8	:day 19 :month 9 :year 2008
ENG_NA_020001_20161020_G0023FSVE_0001.5	:day 9 :month 2 :time "3:19" :year 2010
PROXY_NYT_ENG_20081128_0005.1	:day 28 :month 11 :year 2008
PROXY_XIN_ENG_20020725_0113.11	:day 25 :month 7 :year 2002
ENG_NA_020001_20161020_G0023FSVA_0001.5	:day 19 :month 1 :time "10:34" :year 2010
PROXY_XIN_ENG_20020829_0017.1	:day 29 :month 8 :year 2002
ENG_NA_020001_20161020_G0023FSVH_0001.7	:day 19 :month 2 :time "6:55" :year 2010
PROXY_XIN_ENG_20020905_0122.14	:day 13 :month 11 :year 2002
NW_AFP_ENG_0016_2003_0527.2	:day 3 :month 6
PROXY_NYT_ENG_20070618_0031.1	:day 18 :month 6 :year 2007
PROXY_XIN_ENG_20020725_0113.1	:day 25 :month 7 :year 2002
ENG_NA_020001_20161020_G0023FSVV_0001.8	:day 19 :month 1 :time "21:50" :year 2010
ENG_NA_020001_20161020_G0023FSV9_0001.6	:day 21 :month 1 :time "11:18" :year 2010
NW_XIN_ENG_0196_2008_1027.4	:time "4:12"
NW_XIN_ENG_0196_2008_1027.4	:time "21:12" :timezone "GMT"
PROXY_XIN_ENG_20040403_0262.5	:day 3 :month 4 :year 2004
PROXY_XIN_ENG_20031107_0242.5	:day 8 :month 11 :year 2003
PROXY_XIN_ENG_20031107_0242.5	:day 7 :day 8 :month 11 :month 11 :year 2003
ENG_NA_020001_20161020_G0023FSW5_0001.7	:day 20 :month 1 :time "8:45" :year 2010
ENG_NA_020001_20161020_G0023FSVZ_0001.6	:day 8 :month 2 :time "13:52" :year 2010
ENG_NA_020001_20161020_G0023FSUM_0001.7	:day 20 :month 1 :time "8:17" :year 2010
ENG_NA_020001_20161020_G0023FSVF_0001.6	:day 18 :month 1 :time "7:07" :year 2010
PROXY_LTW_ENG_20081115_0076.8	:day 13 :month 11 :year 2008
ENG_NA_020001_20161020_G0023FSVW_0001.8	:day 3 :month 2 :time "1:16" :year 2010
NW_XIN_ENG_0189_2003_0324.4	:time "11:30" :timezone "GMT"
ENG_NA_020001_20161020_G0023FSUW_0001.5	:day 16 :month 2 :time "9:04" :year 2010
ENG_NA_020001_20161020_G0023FSWD_0001.5	:day 19 :month 2 :time "16:45" :year 2010
ENG_NA_020001_20161020_G0023FSV6_0001.5	:day 24 :month 1 :time "7:10" :year 2010
PROXY_LTW_ENG_20081115_0076.7	:day 13 :month 11 :year 2008
PROXY_LTW_ENG_20070930_0021.1	:day 30 :month 9 :year 2007
PROXY_XIN_ENG_20011006_0073.6	:day 5 :month 10 :year 2001
ENG_NA_020001_20161020_G0023FSV2_0001.5	:day 19 :month 1 :time "17:40" :year 2010
NW_XIN_ENG_0191_2005_0405.2	:day 5 :month 4
ENG_NA_020001_20161020_G0023FSUS_0001.6	:day 8 :month 3 :time "9:45" :year 2010
ENG_NA_020001_20161020_G0023FSW7_0001.5	:day 9 :month 2 :time "13:25" :year 2010
PROXY_XIN_ENG_20020829_0017.6	:day 29 :month 8 :year 2002
ENG_NA_020001_20161020_G0023FSUN_0001.5	:day 20 :month 2 :time "13:51" :year 2010
PROXY_LTW_ENG_20070831_0072.1	:day 21 :month 8 :year 2007
PROXY_XIN_ENG_20020905_0122.9	:day 28 :month 8 :year 2002
PROXY_XIN_ENG_20021123_0156.4	:day 23 :month 11 :year 2002
PROXY_NYT_ENG_20081008_0040.8	:day 8 :month 10 :year 2008
PROXY_NYT_ENG_20081008_0040.8	:day 9 :month 10 :year 2008
PROXY_XIN_ENG_20040407_0026.17	:day 7 :month 4 :year 2004
ENG_NA_020001_20161020_G0023FSWH_0001.7	:day 13 :month 2 :time "13:17" :year 2010
NW_XIN_ENG_0198_2008_1218.4	:time "19:22"
NW_XIN_ENG_0198_2008_1218.4	:time "6:22" :timezone "GMT"
ENG_NA_020001_20161020_G0023FSW1_0001.5	:day 19 :month 2 :time "15:39" :year 2010
PROXY_LTW_ENG_20081115_0076.14	:day 13 :month 11 :year 2008
ENG_NA_020001_20161020_G0023FSW2_0001.8	:day 21 :month 1 :time "13:29" :year 2010
PROXY_XIN_ENG_20020905_0122.1	:day 5 :month 9 :year 2002
ENG_DF_000170_20050903_C00020J0V_0001.61	:day 3 :month 9 :time "15:23" :year 2005
ENG_NA_020001_20161020_G0023FSW3_0001.6	:day 21 :month 1 :time "8:34" :year 2010
PROXY_LTW_ENG_20080727_0030.25	:day 26 :month 7 :year 2008
NW_AFP_ENG_0012_2003_0419.2	:day 19 :month 4
PROXY_NYT_ENG_20081008_0040.1	:day 8 :month 10 :year 2008
NW_AFP_ENG_0019_2003_0630.3	:day 28 :month 9 :year 2000
ENG_NA_020001_20161020_G0023FSUY_0001.5	:day 20 :month 1 :time "14:22" :year 2010
PROXY_XIN_ENG_20020701_0314.13	:month 11 :year 2000
PROXY_NYT_ENG_20040724_0084.41	:month 4 :year 2001
PROXY_XIN_ENG_20041010_0024.8	:day 9 :month 10 :year 2004
ENG_NA_020001_20161020_G0023FSW8_0001.5	:day 21 :month 3 :time "19:08" :year 2010
ENG_NA_020001_20161020_G0023FSV8_0001.5	:day 6 :month 2 :time "21:22" :year 2010
PROXY_LTW_ENG_20081115_0076.28	:day 13 :month 11 :year 2008
PROXY_NYT_ENG_20080919_0209.9	:day 19 :month 9 :year 2008
PROXY_XIN_ENG_20040407_0026.5	:day 7 :month 4 :year 2004
PROXY_NYT_ENG_20080919_0209.14	:day 19 :month 9 :year 2008
PROXY_XIN_ENG_20040922_0123.1	:day 22 :month 9 :year 2004
ENG_NA_020001_20161020_G0023FSVT_0001.5	:day 20 :month 2 :time "13:27" :year 2010
PROXY_XIN_ENG_20020701_0314.15	:day 23 :month 6 :year 2001
PROXY_NYT_ENG_20071115_0274.1	:day 15 :month 11 :year 2007
PROXY_NYT_ENG_20070828_0223.5	:day 27 :month 8 :year 2007
PROXY_NYT_ENG_20070618_0031.5	:day 18 :month 6 :year 2007
ENG_NA_020001_20161020_G0023FSW6_0001.5	:day 21 :month 1 :time "8:52" :year 2010
ENG_NA_020001_20161020_G0023FSV4_0001.5	:day 24 :month 1 :time "5:15" :year 2010
ENG_NA_020001_20161020_G0023FSV5_0001.5	:day 19 :month 1 :time "2:01" :year 2010
PROXY_NYT_ENG_20070618_0031.10	:day 24 :month 6 :year 2007
PROXY_NYT_ENG_20070618_0031.10	:day 18 :month 6 :year 2007
PROXY_LTW_ENG_20080727_0030.29	:day 26 :month 7 :year 2008
PROXY_XIN_ENG_20020905_0122.8	:day 28 :month 8 :year 2002
PROXY_XIN_ENG_20020905_0122.8	:day 4 :month 9 :year 2002
ENG_NA_020001_20161020_G0023FSV1_0001.8	:day 26 :month 2 :time "14:32" :year 2010
PROXY_XIN_ENG_20021123_0156.21	:day 23 :month 11 :year 2002
PROXY_XIN_ENG_20020829_0017.10	:day 28 :month 8 :year 2002
PROXY_XIN_ENG_20020725_0333.5	:day 25 :month 7 :year 2002
ENG_NA_020001_20161020_G0023FSWA_0001.5	:day 6 :month 2 :time "16:00" :year 2010
PROXY_XIN_ENG_20041219_0059.1	:day 19 :month 12 :year 2004
PROXY_XIN_ENG_20030709_0070.10	:day 9 :month 7 :year 2003
PROXY_XIN_ENG_20031107_0242.7	:time "17:30" :timezone "GMT"
PROXY_XIN_ENG_20021020_0012.1	:day 19 :month 10 :year 2002
PROXY_NYT_ENG_20080919_0209.1	:day 19 :month 9 :year 2008
PROXY_NYT_ENG_20081008_0040.19	:day 25 :month 9 :year 2008
PROXY_LTW_ENG_20081115_0076.13	:day 13 :month 11 :year 2008
PROXY_XIN_ENG_20040403_0262.8	:month 7 :year 2005
PROXY_XIN_ENG_20020725_0333.1	:day 25 :month 7 :year 2002
PROXY_XIN_ENG_20021020_0012.15	:day 26 :month 11 :year 2001
PROXY_XIN_ENG_20021020_0012.15	:day 23 :month 11 :year 2001
PROXY_XIN_ENG_20020905_0122.18	:day 16 :month 9 :year 2002
PROXY_XIN_ENG_20020905_0122.18	:day 3 :month 9 :year 2002
PROXY_XIN_ENG_20021123_0156.5	:day 23 :month 11 :year 2002
ENG_NA_020001_20161020_G0023FSUL_0001.6	:day 27 :month 1 :time "12:16" :year 2010
PROXY_XIN_ENG_20011006_0073.1	:day 5 :month 10 :year 2001
PROXY_LTW_ENG_20070831_0072.22	:day 21 :month 8 :year 2007
NW_AFP_ENG_0018_2003_0616.2	:month 4 :year 2001
PROXY_LTW_ENG_20070831_0072.17	:day 19 :month 8 :year 2007
PROXY_LTW_ENG_20081115_0076.5	:day 13 :month 11 :year 2008
ENG_NA_020001_20161020_G0023FSUX_0001.5	:day 23 :month 1 :time "15:24" :year 2010
ENG_NA_020001_20161020_G0023FSVU_0001.8	:day 9 :month 2 :time "0:50" :year 2010
PROXY_XIN_ENG_20040407_0026.14	:day 5 :month 4 :year 2004
ENG_NA_020001_20161020_G0023FSV0_0001.8	:day 15 :month 2 :time "10:38" :year 2010
ENG_NA_020001_20161020_G0023FSUU_0001.5	:day 7 :month 2 :time "0:29" :year 2010
PROXY_NYT_ENG_20070618_0031.16	:day 17 :month 6 :year 2007
ENG_NA_020001_20161020_G0023FSUJ_0001.7	:day 9 :month 2 :time "20:51" :year 2010
PROXY_LTW_ENG_20080727_0030.6	:day 26 :month 7 :year 2008
PROXY_XIN_ENG_20020905_0122.22	:day 26 :month 11 :year 2001
PROXY_XIN_ENG_20021123_0156.6	:day 23 :month 11 :year 2002
PROXY_XIN_ENG_20020725_0113.9	:day 24 :month 7 :year 2002
PROXY_NYT_ENG_20081008_0040.6	:day 25 :month 9 :year 2008
PROXY_NYT_ENG_20081008_0040.6	:day 8 :month 10 :year 2008
ENG_NA_020001_20161020_G0023FSUP_0001.5	:day 23 :month 2 :time "14:23" :year 2010
ENG_NA_020001_20161020_G0023FSWE_0001.5	:day 17 :month 1 :time "6:46" :year 2010
ENG_NA_020001_20161020_G0023FSWF_0001.7	:day 12 :month 2 :time "20:51" :year 2010
NW_XIN_ENG_0193_2006_0822.2	:day 22 :month 8
ENG_NA_020001_20161020_G0023FSVY_0001.7	:day 19 :month 1 :time "17:49" :year 2010
PROXY_NYT_ENG_20080919_0209.12	:day 18 :month 9 :year 2008
PROXY_NYT_ENG_20080919_0209.12	:day 19 :month 9 :year 2008
ENG_NA_020001_20161020_G0023FSW9_0001.5	:day 21 :month 1 :time "12:33" :year 2010
ENG_NA_020001_20161020_G0023FSVC_0001.6	:day 5 :month 2 :time "13:01" :year 2010
PROXY_XIN_ENG_20040407_0026.1	:day 7 :month 4 :year 2004
ENG_NA_020001_20161020_G0023FSW4_0001.9	:day 18 :month 1 :time "13:26" :year 2010
ENG_NA_020001_20161020_G0023FSUK_0001.8	:day 19 :month 1 :time "5:49" :year 2010
ENG_NA_020001_20161020_G0023FSUR_0001.5	:month 2 :time "9:17" :year 2010 :year 23
ENG_NA_020001_20161020_G0023FSVX_0001.5	:day 18 :month 1 :time "16:33" :year 2010
PROXY_XIN_ENG_20030624_0298.21	:month 8 :year 1998
PROXY_XIN_ENG_20030624_0298.21	:month 4 :year 1999
PROXY_XIN_ENG_20041010_0024.1	:day 9 :month 10 :year 2004
ENG_DF_000170_20050903_C00020J0V_0001.54	:day 15 :month 9 :year 2005
PROXY_NYT_ENG_20070828_0223.1	:day 27 :month 8 :year 2007
PROXY_NYT_ENG_20070618_0031.7	:day 16 :month 6 :year 2007
PROXY_NYT_ENG_20070618_0031.7	:day 17 :month 6 :year 2007
PROXY_XIN_ENG_20041010_0024.7	:day 8 :month 10 :year 2004
PROXY_XIN_ENG_20041010_0024.7	:day 9 :month 10 :year 2004
ENG_NA_020001_20161020_G0023FSVD_0001.5	:day 21 :month 1 :time "13:24" :year 2010
ENG_NA_020001_20161020_G0023FSV7_0001.5	:day 19 :month 2 :time "12:41" :year 2010
ENG_NA_020001_20161020_G0023FSVB_0001.5	:day 21 :month 1 :time "13:54" :year 2010
PROXY_XIN_ENG_20020905_0122.10	:day 29 :month 8 :year 2002
PROXY_XIN_ENG_20020905_0122.6	:day 28 :month 8 :year 2002
PROXY_NYT_ENG_20081008_0040.13	:day 8 :month 10 :year 2008
PROXY_LTW_ENG_20070831_0072.9	:day 21 :month 8 :year 2007
PROXY_LTW_ENG_20070831_0072.9	:day 12 :month 8 :year 2007
PROXY_NYT_ENG_20050716_0171.1	:day 16 :month 7 :year 2005
bolt12_64556_5627.5	:day 11 :month 9 :year 2010
PROXY_NYT_ENG_20040724_0084.1	:day 24 :month 7 :year 2004
ENG_NA_020001_20161020_G0023FSUV_0001.5	:day 21 :month 1 :time "10:45" :year 2010
PROXY_XIN_ENG_20031107_0242.1	:day 7 :month 11 :year 2003
PROXY_XIN_ENG_20030709_0070.1	:day 9 :month 7 :year 2003
PROXY_XIN_ENG_20020905_0122.12	:day 4 :month 9 :year 2002
PROXY_XIN_ENG_20040429_0189.8	:day 2 :month 5 :year 2004
PROXY_NYT_ENG_20040724_0084.32	:day 18 :month 7 :year 2004
PROXY_NYT_ENG_20040724_0084.32	:day 24 :month 7 :year 2004
ENG_NA_020001_20161020_G0023FSUT_0001.8	:day 19 :month 1 :time "13:20" :year 2010
NW_XIN_ENG_0209_2008_0513.2	:day 13 :month 5
PROXY_XIN_ENG_20020701_0314.7	:day 1 :month 7 :year 2002
PROXY_XIN_ENG_20011006_0073.5	:day 6 :month 10 :year 2001
ENG_DF_000170_20050903_C00020J0V_0001.58	:time "17:30"
ENG_DF_000170_20050903_C00020J0V_0001.58	:time "18:30"
ENG_DF_000170_20050903_C00020J0V_0001.58	:day 15 :month 9 :year 2005
ENG_NA_020001_20161020_G0023FSVG_0001.8	:day 17 :month 1 :time "3:35" :year 2010
PROXY_XIN_ENG_20020701_0314.1	:day 1 :month 7 :year 2002
NW_AFP_ENG_0019_2003_0630.2	:month 9 :year 2000
PROXY_XIN_ENG_20020905_0122.15	:day 29 :month 8 :year 2002
PROXY_XIN_ENG_20040429_0189.1	:day 29 :month 4 :year 2004
ENG_NA_020001_20161020_G0023FSWG_0001.5	:day 9 :month 2 :time "1:42" :year 2010
nw.chtb_0303.2	:day 14 :month 9
ENG_DF_000170_20050903_C00020J0V_0001.5	:day 3 :month 9 :year 2005
PROXY_LTW_ENG_20070831_0072.21	:day 21 :month 8 :year 2007
